Home_Team,Away_Team,Actual_Total,Closing_Total,Error,Abs_Error
LSU,Colorado,170,138.6,-31.400000000000006,31.400000000000006
Kansas,North Carolina Central,155,138.8,-16.19999999999999,16.19999999999999
Duke,Dartmouth,146,133.1,-12.900000000000006,12.900000000000006
Purdue,Samford,143,163.1,20.099999999999994,20.099999999999994
Iowa,FDU,148,138.2,-9.800000000000011,9.800000000000011
Michigan State,James Madison,155,152.5,-2.5,2.5
UCLA,Purdue,141,150.6,9.599999999999994,9.599999999999994
Utah,Mississippi Valley State,149,119.5,-29.5,29.5
Marquette,Northern Illinois,162,140.2,-21.80000000000001,21.80000000000001
South Carolina,Notre Dame,171,124.5,-46.5,46.5
UConn,Northern Arizona,147,144.1,-2.9000000000000057,2.9000000000000057
USC,Ohio State,157,146.7,-10.300000000000011,10.300000000000011
Virginia Tech,High Point,149,145.3,-3.6999999999999886,3.6999999999999886
Tennessee,Tennessee Tech,122,116.3,-5.700000000000003,5.700000000000003
Ole Miss,Queens (NC),135,133.3,-1.6999999999999886,1.6999999999999886
Arizona,Morgan State,181,145.0,-36.0,36.0
Miami (FL),NJIT,161,124.2,-36.8,36.8
Maryland,Harvard,173,133.5,-39.5,39.5
Arkansas,Alcorn State,152,129.5,-22.5,22.5
Texas A&M,East Texas A&M,124,108.1,-15.900000000000006,15.900000000000006
Texas A&M,East Texas A&M,124,108.1,-15.900000000000006,15.900000000000006
Kentucky,New Mexico State,132,121.0,-11.0,11.0
Cincinnati,Louisville,136,142.3,6.300000000000011,6.300000000000011
Florida State,Charleston Southern,162,131.3,-30.69999999999999,30.69999999999999
Texas,Incarnate Word,144,114.8,-29.200000000000003,29.200000000000003
UNC,Radford,156,121.9,-34.099999999999994,34.099999999999994
Baylor,Southern,138,138.3,0.30000000000001137,0.30000000000001137
USC,Kansas State,151,145.5,-5.5,5.5
Creighton,North Dakota State,127,138.3,11.300000000000011,11.300000000000011
Creighton,North Dakota State,127,138.3,11.300000000000011,11.300000000000011
Villanova,American,153,126.1,-26.900000000000006,26.900000000000006
Washington State,Cal Poly,139,125.1,-13.900000000000006,13.900000000000006
Alabama,Morehead State,178,128.2,-49.80000000000001,49.80000000000001
Mississippi State,Alcorn State,119,99.8,-19.200000000000003,19.200000000000003
Illinois,Eastern Illinois,132,115.7,-16.299999999999997,16.299999999999997
Stephen F. Austin,Panhandle State,164,122.0,-42.0,42.0
Ball State,Tennessee Tech,161,111.7,-49.3,49.3
Clemson,Winthrop,112,140.9,28.900000000000006,28.900000000000006
Duke,Richmond,136,152.2,16.19999999999999,16.19999999999999
Georgia Tech,Coastal Carolina,136,126.6,-9.400000000000006,9.400000000000006
Hofstra,St. Joseph's–Long Island,149,122.8,-26.200000000000003,26.200000000000003
Iowa State,Butler,137,157.5,20.5,20.5
Kansas City,Bradley,139,133.8,-5.199999999999989,5.199999999999989
Missouri,Belmont,133,138.1,5.099999999999994,5.099999999999994
Samford,Auburn Montgomery,129,164.9,35.900000000000006,35.900000000000006
Southern Miss,William Carey,134,116.3,-17.700000000000003,17.700000000000003
Stephen F. Austin,North American,164,120.2,-43.8,43.8
Vanderbilt,Kennesaw State,149,127.8,-21.200000000000003,21.200000000000003
Utah Tech,La Verne,175,126.6,-48.400000000000006,48.400000000000006
Nebraska,Northwestern State,132,133.6,1.5999999999999943,1.5999999999999943
Oklahoma,Wichita State,160,141.8,-18.19999999999999,18.19999999999999
Prairie View,Kansas Christian,155,120.4,-34.599999999999994,34.599999999999994
George Mason,Bowie State,141,122.6,-18.400000000000006,18.400000000000006
UAB,Alabama A&M,133,128.1,-4.900000000000006,4.900000000000006
Liberty,Frostburg State,114,120.0,6.0,6.0
Oregon,Georgia,153,136.9,-16.099999999999994,16.099999999999994
Temple,Delaware State,152,122.7,-29.299999999999997,29.299999999999997
Alabama,Alabama State,132,119.4,-12.599999999999994,12.599999999999994
Army,NJIT,130,101.5,-28.5,28.5
Boston College,Holy Cross,127,122.8,-4.200000000000003,4.200000000000003
Bryant,Dartmouth,122,121.7,-0.29999999999999716,0.29999999999999716
Buffalo,Canisius,129,112.1,-16.900000000000006,16.900000000000006
Florida,North Florida,147,122.2,-24.799999999999997,24.799999999999997
George Washington,Howard,122,124.7,2.700000000000003,2.700000000000003
Lehigh,East Stroudsburg State,120,118.1,-1.9000000000000057,1.9000000000000057
Morgan State,Washington Adventist,116,130.5,14.5,14.5
Quinnipiac,Maine,127,127.9,0.9000000000000057,0.9000000000000057
TCU,Oral Roberts,132,137.6,5.599999999999994,5.599999999999994
Vermont,Miami (OH),108,126.0,18.0,18.0
Wake Forest,Wofford,140,139.6,-0.4000000000000057,0.4000000000000057
William & Mary,Norfolk State,130,115.7,-14.299999999999997,14.299999999999997
Appalachian State,UNC Greensboro,136,135.0,-1.0,1.0
Little Rock,Missouri State,99,131.3,32.30000000000001,32.30000000000001
Grambling,Champion Christian,141,121.4,-19.599999999999994,19.599999999999994
Grand Canyon,Saint Mary's,107,138.8,31.80000000000001,31.80000000000001
UMass,St. Peter's,100,124.0,24.0,24.0
Middle Tennessee,Memphis,114,133.5,19.5,19.5
Omaha,Illinois State,164,120.6,-43.400000000000006,43.400000000000006
New Hampshire,New England,112,121.9,9.900000000000006,9.900000000000006
Penn,John Jay,159,140.4,-18.599999999999994,18.599999999999994
South Dakota,Northern State,142,112.6,-29.400000000000006,29.400000000000006
Stonehill,Northeastern,134,109.3,-24.700000000000003,24.700000000000003
Stony Brook,Columbia,158,127.3,-30.700000000000003,30.700000000000003
UTEP,Western New Mexico,133,123.8,-9.200000000000003,9.200000000000003
Tulane,Stetson,125,133.1,8.099999999999994,8.099999999999994
Western Kentucky,Mercer,134,135.5,1.5,1.5
Air Force,Denver,128,117.3,-10.700000000000003,10.700000000000003
Akron,Oakland,178,133.4,-44.599999999999994,44.599999999999994
American,Longwood,149,118.6,-30.400000000000006,30.400000000000006
Belmont,Georgia State,176,135.2,-40.80000000000001,40.80000000000001
Bowling Green State,Chicago State,111,111.6,0.5999999999999943,0.5999999999999943
Brown,Florida Gulf Coast,138,121.3,-16.700000000000003,16.700000000000003
Bryant,Manhattan,120,124.2,4.200000000000003,4.200000000000003
Bucknell,Delaware,135,121.7,-13.299999999999997,13.299999999999997
Buffalo,FDU,178,111.7,-66.3,66.3
Charlotte,Maine,121,123.1,2.0999999999999943,2.0999999999999943
Colgate,Brown,142,128.4,-13.599999999999994,13.599999999999994
College of Charleston,Iona,140,117.4,-22.599999999999994,22.599999999999994
Colorado,Towson,132,126.5,-5.5,5.5
Colorado State,Le Moyne,118,132.8,14.800000000000011,14.800000000000011
Coppin State,La Salle,141,109.4,-31.599999999999994,31.599999999999994
Davidson,Washington & Lee,149,119.1,-29.900000000000006,29.900000000000006
Drake,St. Thomas,163,137.1,-25.900000000000006,25.900000000000006
Duquesne,Cleveland State,156,133.3,-22.69999999999999,22.69999999999999
Eastern Michigan,Detroit Mercy,106,104.0,-2.0,2.0
Elon,East Carolina,105,117.4,12.400000000000006,12.400000000000006
Fordham,Wagner,132,117.6,-14.400000000000006,14.400000000000006
Furman,North Greenville,152,129.1,-22.900000000000006,22.900000000000006
George Mason,Monmouth,133,130.4,-2.5999999999999943,2.5999999999999943
Georgetown,Maryland-Eastern Shore,111,114.3,3.299999999999997,3.299999999999997
Georgia Tech,Georgia Southern,146,128.9,-17.099999999999994,17.099999999999994
Georgia,North Carolina A&T,130,125.4,-4.599999999999994,4.599999999999994
High Point,St. Andrews,156,125.5,-30.5,30.5
Howard,Hampton,172,114.6,-57.400000000000006,57.400000000000006
