game_id,season,week,home_team,away_team,home_score,away_score,total,home_margin,home_win,home_ppg,home_points_allowed_per_game,home_yards_per_play,home_yards_per_play_allowed,home_third_down_pct,home_third_down_pct_defense,home_turnover_margin,home_win_pct,home_last_4_win_pct,home_rest_days,away_ppg,away_points_allowed_per_game,away_yards_per_play,away_yards_per_play_allowed,away_third_down_pct,away_third_down_pct_defense,away_turnover_margin,away_win_pct,away_last_4_win_pct,away_rest_days,is_division_game,is_primetime,temperature,wind_speed
NFL_2022_W01_0000,2022,1,CIN,MIN,19,18,37,1,1,27.50714306409916,23.986584841970366,5.7913016089144636,0.7086983910855364,47.51855763459191,34.48144236540809,-0.5753217786434477,0.3090949803242604,0.18340450985343382,7,25.31993941811405,19.560186404424364,4.828818292014123,1.6711817079858768,45.31908225280675,36.68091774719325,0.22330632097656178,0.20423978313183044,0.023062425041415757,7,0,0,42.0999548446127,14.606332782621887
NFL_2022_W01_0001,2022,1,JAX,TEN,16,11,27,5,1,18.906064345328208,21.82461991267163,5.752430554022892,0.7475694459771081,32.21223937855787,49.78776062144213,0.12657643569107857,0.4312499015239497,0.015966252220214194,7,24.18386009333087,27.832308858067883,5.430698952757361,1.0693010472426394,47.075228090957644,34.924771909042356,0.3684660530243138,0.46409149624376084,0.12203823484477883,7,1,0,80.91941809354519,3.8816997240002538
NFL_2022_W01_0002,2022,1,CLE,BUF,19,12,31,7,1,21.11711076089411,23.467102793432797,4.9238895028726875,1.5761104971273125,32.723636622568606,49.276363377431394,-0.22264542062103598,0.3628094190643376,0.8287375091519293,7,23.200680211778106,19.84854455525527,5.074376007386803,1.4256239926131968,37.20528529221223,44.79471470778777,0.930510614528276,0.5642205486120109,0.27599918202254337,7,0,0,43.35477896558969,14.80330404900776
NFL_2022_W01_0003,2022,1,NYG,ARI,17,12,29,5,1,19.987156815341724,26.15461428454834,4.903662512427727,1.5963374875722733,33.853904952402075,48.146095047597925,0.24659625365511584,0.39853881491158955,0.06355835028602363,14,18.055221171236024,25.06857343847617,5.301852019961982,1.1981479800380184,45.8096548140095,36.1903451859905,0.33768250532721455,0.5995534139704981,0.5912977877077271,7,0,0,61.249671632287715,1.7939136890745255
NFL_2022_W01_0004,2022,1,IND,BAL,0,15,15,-15,0,25.607850486168974,25.70967179954561,4.835586777441733,1.6644132225582666,32.502866970987746,49.497133029012254,-0.37128803784734665,0.5051424146988217,0.907566473926093,14,23.61277197569496,22.93795596364391,4.951047997790626,1.548952002209374,42.18256658022049,39.81743341977951,0.2088347585556345,0.523904654781004,0.2030612247347694,7,1,0,71.2653219867867,13.207017585228865
NFL_2022_W01_0005,2022,1,DEN,IND,20,7,27,13,1,20.95633685837714,22.565345704829102,5.254083029407384,1.2459169705926163,37.7007654092316,44.2992345907684,-0.45573550123072937,0.5886140723248174,0.0005203769953158188,7,19.054942598302706,20.184404372168338,4.970923136580943,1.529076863419057,46.509255064732066,35.490744935267934,0.7214611665126869,0.20417127831871443,0.5107473025775657,3,0,0,71.15962148006216,4.041185006977822
NFL_2022_W01_0006,2022,1,NYG,JAX,12,9,21,3,1,19.682910421729307,23.581020020173412,5.145626487974042,1.3543735120259583,43.39632943879107,38.60367056120893,0.9954809700978837,0.36006860856517103,0.9766149558326529,7,20.187642195730703,22.038361710580407,5.774825981975704,0.7251740180242958,34.3693908792544,47.6306091207456,-0.8970424975000213,0.3671878785419669,0.9082658859666537,7,0,0,63.892056249271135,6.716747468596375
NFL_2022_W01_0007,2022,1,CHI,NYG,23,3,26,20,1,24.721355474058786,20.376375439923997,5.686941595065253,0.8130584049347469,33.44463632087053,48.55536367912947,-0.35843987005652833,0.3119111062399126,0.040775141554763916,7,25.616196153287177,25.282163486118595,5.550084557704662,0.949915442295338,45.36483992942781,36.63516007057219,-0.3480821895962305,0.332144628539329,0.7111495324380178,14,0,0,69.03277556842525,2.6154964350748715
NFL_2022_W01_0008,2022,1,ARI,DAL,11,18,29,-7,0,21.867353463005372,19.375209441459933,5.723977664447851,0.776022335552149,40.8832129855914,41.1167870144086,-0.5162954181990966,0.25586166068353955,0.8972157579533268,7,27.367299887367345,21.410663510502584,5.9441110802817025,0.5558889197182975,40.4744092536961,41.5255907463039,0.7652726863786794,0.31322426500482764,0.2788713525921819,7,1,0,78.53459313451415,6.067621906832851
NFL_2022_W01_0009,2022,1,ARI,NYJ,1,19,20,-18,0,26.509284487675128,25.853406511139436,6.11618681944089,0.38381318055910985,36.54273559579945,45.45726440420055,-0.02877249282754679,0.46905448579174847,0.9944574626108207,7,27.356349942209476,24.689882547142286,6.163129371457444,0.336870628542556,36.88582176551029,45.11417823448971,0.4243584426950717,0.3423494524980801,0.3253996981592677,7,1,0,69.59258015351546,8.524629050032074
