game_id,date,season,home_team,away_team,home_score,away_score,total,home_margin,home_win
NCAAB_2023_0000,2023-11-15,2023,uab,virginia,84,58,142,26,1
NCAAB_2023_0001,2023-11-15,2023,william_&_mary,connecticut,69,87,156,-18,0
NCAAB_2023_0002,2023-11-15,2023,siena,weber_st.,74,64,138,10,1
NCAAB_2023_0003,2023-11-15,2023,florida_gulf_coast,kansas,84,61,145,23,1
NCAAB_2023_0004,2023-11-16,2023,utah_valley,n.c._state,81,94,175,-13,0
NCAAB_2023_0005,2023-11-16,2023,canisius,georgia_southern,85,61,146,24,1
NCAAB_2023_0006,2023-11-16,2023,wisconsin,columbia,60,70,130,-10,0
NCAAB_2023_0007,2023-11-16,2023,st._john's,sacramento_st.,72,74,146,-2,0
NCAAB_2023_0008,2023-11-17,2023,ut_arlington,pacific,73,61,134,12,1
NCAAB_2023_0009,2023-11-17,2023,pacific,uc_irvine,77,63,140,14,1
NCAAB_2023_0010,2023-11-17,2023,south_alabama,southeastern_louisiana,69,48,117,21,1
NCAAB_2023_0011,2023-11-17,2023,purdue,sacred_heart,81,64,145,17,1
NCAAB_2023_0012,2023-11-18,2023,colgate,kennesaw_st.,105,69,174,36,1
NCAAB_2023_0013,2023-11-18,2023,james_madison,nevada,81,89,170,-8,0
NCAAB_2023_0014,2023-11-18,2023,virginia,james_madison,91,65,156,26,1
NCAAB_2023_0015,2023-11-18,2023,richmond,auburn,78,66,144,12,1
NCAAB_2023_0016,2023-11-19,2023,ucf,northern_kentucky,73,58,131,15,1
NCAAB_2023_0017,2023-11-19,2023,chicago_st.,louisiana,73,42,115,31,1
NCAAB_2023_0018,2023-11-19,2023,bowling_green,houston_christian,56,62,118,-6,0
NCAAB_2023_0019,2023-11-19,2023,mercer,tennessee_tech,63,68,131,-5,0
NCAAB_2023_0020,2023-11-20,2023,unc_asheville,villanova,70,82,152,-12,0
NCAAB_2023_0021,2023-11-20,2023,missouri_st.,fairleigh_dickinson,48,87,135,-39,0
NCAAB_2023_0022,2023-11-20,2023,cal_st._fullerton,temple,70,68,138,2,1
NCAAB_2023_0023,2023-11-20,2023,unc_greensboro,ohio_st.,50,82,132,-32,0
NCAAB_2023_0024,2023-11-21,2023,utep,north_dakota,70,72,142,-2,0
NCAAB_2023_0025,2023-11-21,2023,boston_college,santa_clara,78,84,162,-6,0
NCAAB_2023_0026,2023-11-21,2023,minnesota,albany,66,46,112,20,1
NCAAB_2023_0027,2023-11-21,2023,rider,vanderbilt,72,65,137,7,1
NCAAB_2023_0028,2023-11-22,2023,indiana,iona,86,74,160,12,1
NCAAB_2023_0029,2023-11-22,2023,marist,illinois,74,61,135,13,1
NCAAB_2023_0030,2023-11-22,2023,umass_lowell,lafayette,92,45,137,47,1
NCAAB_2023_0031,2023-11-22,2023,indiana_st.,wagner,62,72,134,-10,0
NCAAB_2023_0032,2023-11-23,2023,southern_indiana,georgia_tech,60,40,100,20,1
NCAAB_2023_0033,2023-11-23,2023,utah_st.,presbyterian,60,63,123,-3,0
NCAAB_2023_0034,2023-11-23,2023,ut_rio_grande_valley,bradley,87,59,146,28,1
NCAAB_2023_0035,2023-11-23,2023,vmi,charleston,78,57,135,21,1
NCAAB_2023_0036,2023-11-24,2023,nicholls_st.,mercer,71,71,142,0,0
NCAAB_2023_0037,2023-11-24,2023,eastern_illinois,drexel,55,48,103,7,1
NCAAB_2023_0038,2023-11-24,2023,uc_san_diego,fresno_st.,81,66,147,15,1
NCAAB_2023_0039,2023-11-24,2023,st._francis_ny,cal_baptist,54,47,101,7,1
NCAAB_2023_0040,2023-11-25,2023,vanderbilt,south_dakota,41,57,98,-16,0
NCAAB_2023_0041,2023-11-25,2023,cal_poly,st._bonaventure,62,53,115,9,1
NCAAB_2023_0042,2023-11-25,2023,saint_joseph's,michigan_st.,93,75,168,18,1
NCAAB_2023_0043,2023-11-25,2023,belmont,oklahoma,62,89,151,-27,0
NCAAB_2023_0044,2023-11-26,2023,alcorn_st.,lsu,80,65,145,15,1
NCAAB_2023_0045,2023-11-26,2023,creighton,florida_gulf_coast,83,81,164,2,1
NCAAB_2023_0046,2023-11-26,2023,cal_baptist,liberty,67,71,138,-4,0
NCAAB_2023_0047,2023-11-26,2023,queens,saint_peter's,59,48,107,11,1
NCAAB_2023_0048,2023-11-27,2023,radford,bucknell,57,84,141,-27,0
NCAAB_2023_0049,2023-11-27,2023,hampton,brown,44,43,87,1,1
NCAAB_2023_0050,2023-11-27,2023,chattanooga,fresno_st.,69,60,129,9,1
NCAAB_2023_0051,2023-11-27,2023,yale,boise_st.,81,79,160,2,1
NCAAB_2023_0052,2023-11-28,2023,furman,grambling_st.,97,53,150,44,1
NCAAB_2023_0053,2023-11-28,2023,south_dakota,oklahoma_st.,75,46,121,29,1
NCAAB_2023_0054,2023-11-28,2023,clemson,southeastern_louisiana,78,70,148,8,1
NCAAB_2023_0055,2023-11-28,2023,saint_joseph's,massachusetts,95,57,152,38,1
NCAAB_2023_0056,2023-11-29,2023,wichita_st.,murray_st.,71,59,130,12,1
NCAAB_2023_0057,2023-11-29,2023,manhattan,buffalo,71,58,129,13,1
NCAAB_2023_0058,2023-11-29,2023,xavier,grand_canyon,74,77,151,-3,0
NCAAB_2023_0059,2023-11-29,2023,appalachian_st.,morgan_st.,68,65,133,3,1
NCAAB_2023_0060,2023-11-30,2023,grambling_st.,south_alabama,90,77,167,13,1
NCAAB_2023_0061,2023-11-30,2023,mercer,kansas,77,77,154,0,0
NCAAB_2023_0062,2023-11-30,2023,wofford,siena,90,46,136,44,1
NCAAB_2023_0063,2023-11-30,2023,pittsburgh,north_dakota,73,77,150,-4,0
NCAAB_2023_0064,2023-11-31,2023,ball_st.,stephen_f._austin,84,60,144,24,1
NCAAB_2023_0065,2023-11-31,2023,tulsa,idaho,71,65,136,6,1
NCAAB_2023_0066,2023-11-31,2023,evansville,manhattan,57,62,119,-5,0
NCAAB_2023_0067,2023-11-31,2023,vermont,cal_st._bakersfield,70,69,139,1,1
NCAAB_2023_0068,2023-11-32,2023,virginia,kennesaw_st.,69,87,156,-18,0
NCAAB_2023_0069,2023-11-32,2023,ucla,san_jose_st.,80,83,163,-3,0
NCAAB_2023_0070,2023-11-32,2023,radford,kentucky,77,73,150,4,1
NCAAB_2023_0071,2023-11-32,2023,arkansas_st.,boston_college,62,60,122,2,1
NCAAB_2023_0072,2023-11-33,2023,arizona_st.,elon,52,66,118,-14,0
NCAAB_2023_0073,2023-11-33,2023,houston,tennessee_martin,58,78,136,-20,0
NCAAB_2023_0074,2023-11-33,2023,texas_a&m_corpus_chris,morehead_st.,63,64,127,-1,0
NCAAB_2023_0075,2023-11-33,2023,liberty,southern_indiana,61,73,134,-12,0
NCAAB_2023_0076,2023-11-34,2023,north_carolina,cleveland_st.,84,74,158,10,1
NCAAB_2023_0077,2023-11-34,2023,middle_tennessee,san_jose_st.,68,60,128,8,1
NCAAB_2023_0078,2023-11-34,2023,chicago_st.,weber_st.,72,49,121,23,1
NCAAB_2023_0079,2023-11-34,2023,mercer,north_dakota,40,62,102,-22,0
NCAAB_2023_0080,2023-11-35,2023,penn_st.,kent_st.,94,73,167,21,1
NCAAB_2023_0081,2023-11-35,2023,western_carolina,binghamton,60,67,127,-7,0
NCAAB_2023_0082,2023-11-35,2023,uc_santa_barbara,western_kentucky,83,68,151,15,1
NCAAB_2023_0083,2023-11-35,2023,texas,western_michigan,65,82,147,-17,0
NCAAB_2023_0084,2023-11-36,2023,san_diego_st.,umass_lowell,53,101,154,-48,0
NCAAB_2023_0085,2023-11-36,2023,binghamton,florida_st.,57,70,127,-13,0
NCAAB_2023_0086,2023-11-36,2023,villanova,georgia,68,75,143,-7,0
NCAAB_2023_0087,2023-11-36,2023,unc_wilmington,vanderbilt,79,84,163,-5,0
NCAAB_2023_0088,2023-11-37,2023,louisiana_tech,georgetown,62,53,115,9,1
NCAAB_2023_0089,2023-11-37,2023,dartmouth,queens,43,76,119,-33,0
NCAAB_2023_0090,2023-11-37,2023,texas_tech,florida_atlantic,92,70,162,22,1
NCAAB_2023_0091,2023-11-37,2023,boise_st.,oklahoma_st.,62,70,132,-8,0
NCAAB_2023_0092,2023-11-38,2023,saint_louis,florida_atlantic,76,62,138,14,1
NCAAB_2023_0093,2023-11-38,2023,samford,high_point,80,67,147,13,1
NCAAB_2023_0094,2023-11-38,2023,byu,bryant,82,89,171,-7,0
NCAAB_2023_0095,2023-11-38,2023,hampton,morehead_st.,69,55,124,14,1
NCAAB_2023_0096,2023-11-39,2023,maryland_eastern_shore,charlotte,72,72,144,0,0
NCAAB_2023_0097,2023-11-39,2023,njit,utah,63,51,114,12,1
