game_id,season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,total,home_margin,home_win,home_ppg,home_points_allowed_per_game,home_yards_per_play,home_yards_per_play_allowed,home_third_down_pct,home_third_down_pct_defense,home_turnover_margin,home_win_pct,home_last_3_win_pct,home_talent_composite,home_plays_per_game,away_ppg,away_points_allowed_per_game,away_yards_per_play,away_yards_per_play_allowed,away_third_down_pct,away_third_down_pct_defense,away_turnover_margin,away_win_pct,away_last_3_win_pct,away_talent_composite,away_plays_per_game,is_conference_game,is_rivalry_game
NCAAF_2023_W01_0000,2023,1,USC,UTSA,B10,CUSA,11,12,23,-1,0,31.93700315892974,19.69957356890605,6.301776945897705,0.19822305410229468,44.99597790080284,37.00402209919716,0.3524445288831495,0.6199051864150387,0.007066305219717406,0.600272568044355,60.576560626035395,25.13332404565746,25.807231163419743,5.1128231580542005,1.3871768419457995,48.8939487622835,33.1060512377165,0.07432398077516744,0.4398818259579671,0.04666566321361543,0.696884623716487,84.34388797103648,1,0
NCAAF_2023_W01_0001,2023,1,Clemson,Miami,ACC,ACC,27,24,51,3,1,37.19880813472641,25.65848728348223,5.770833005079832,0.7291669949201678,36.15608886119868,45.84391113880132,0.9995847352084928,0.24735995548160628,0.3910606075732408,0.8391422315889103,64.55590219470156,33.606150771755594,18.22550433971773,5.031932504440428,1.4680674955595716,36.33845838846821,45.66154161153179,0.7660842309529574,0.461382493317558,0.20794166286818883,0.8134988302239172,74.19250819549978,1,1
NCAAF_2023_W01_0002,2023,1,Western Michigan,Clemson,MAC,ACC,16,15,31,1,1,33.03198306502703,28.164299639788446,5.777354579378964,0.7226454206210358,46.91727516473473,35.08272483526527,-1.077227325075712,0.7818674336409337,0.07455064367977082,0.41237380387495226,84.67217341501294,37.89654700855297,33.67186199539299,5.542698063547792,0.9573019364522084,38.42155988048461,43.57844011951539,0.8167343078899725,0.2689083293040465,0.005522117123602399,0.789943629105387,80.38653571137085,0,0
NCAAF_2023_W01_0003,2023,1,LSU,Alabama,SEC,SEC,15,30,45,-15,0,32.11919949562023,29.068309433533056,5.190820232980823,1.3091797670191774,44.039142547944934,37.960857452055066,0.18373027754310334,0.42548784354072133,0.9717120953891037,0.8069542256977045,81.2228456066521,38.52601757026698,33.55431448424427,5.741636504396533,0.7583634956034668,43.98660241911494,38.01339758088506,0.6651885634946195,0.30058718178661237,0.25606832276132396,0.6961526275465224,61.01083973846078,0,0
NCAAF_2023_W01_0004,2023,1,Kansas State,Oklahoma,B12,B12,34,7,41,27,1,26.287119621526536,33.42863005674358,5.457596330983245,1.042403669016755,37.21552615244782,44.78447384755218,0.4002112695312703,0.84074150165956,0.8036720768991145,0.9253941783199005,64.6642514721509,30.171413823294056,22.237967895530872,5.153959819657586,1.3460401803424142,34.90198317057208,47.09801682942792,1.177676995469933,0.5584409056283031,0.8074401551640625,0.8828421328475459,82.40228249808733,1,0
NCAAF_2023_W01_0005,2023,1,Coastal Carolina,Air Force,SBC,MWC,35,13,48,22,1,23.641101701346706,20.79914950343001,5.5388246675970425,0.9611753324029575,35.02923875911275,46.97076124088725,-1.3053232586730554,0.31582810184419297,0.2468760628386012,0.5232408008069365,77.40760682099472,22.876500130528463,27.079520129382516,5.488251044495549,1.0117489555044514,35.937755952315264,46.062244047684736,0.6368117697733262,0.22587389046038991,0.9977404850489419,0.4615344684232163,66.66952535688212,1,0
NCAAF_2023_W01_0006,2023,1,UCF,Memphis,AAC,AAC,35,0,35,35,1,23.52113996842693,29.571992676431037,6.185393447758787,0.31460655224121314,38.65378020910528,43.34621979089472,1.4502694226845287,0.43900077607787014,0.8164318732193839,0.6212559025519584,79.95862812461378,28.14962151522182,27.02588791639132,5.161706652665431,1.3382933473345693,36.358878888993665,45.641121111006335,-1.0478473681037115,0.5319689602296108,0.6958128067908819,0.48812025377841534,81.458970120343,1,0
NCAAF_2023_W01_0007,2023,1,Texas Tech,Kansas State,B12,B12,22,0,22,22,1,36.190020922794304,19.635001368554153,6.6754202118146555,-0.1754202118146555,45.2338901463339,36.7661098536661,-0.814349934608101,0.24871168803154575,0.9821683433294356,0.789506790839648,72.91589728177536,26.973319745834587,33.988895496323266,6.351380234078562,0.14861976592143833,35.76328917327885,46.23671082672115,-0.717512475508773,0.9468156447942356,0.9654193512887936,0.8435245397707787,73.95733634017743,1,0
NCAAF_2023_W01_0008,2023,1,Western Michigan,Toledo,MAC,MAC,23,28,51,-5,0,31.546578275812895,24.87663816107723,6.1613732428729096,0.33862675712709045,48.92240196424001,33.07759803575999,-0.04315873924132019,0.48116052153831024,0.9944574626108207,0.41356838989498623,64.39813131693363,31.70118867004948,33.09209167893631,5.744565533123486,0.7554344668765136,49.52594906159571,32.47405093840429,-1.4457739091534374,0.5198096579059194,0.1788227092213288,0.42214554413775734,69.1617196145715,1,0
NCAAF_2023_W01_0009,2023,1,Texas,LSU,SEC,SEC,22,13,35,9,1,27.35431606118867,22.14782393744442,6.262277251994526,0.23772274800547422,41.04746767589346,40.95253232410654,0.667356345784516,0.3386565080747274,0.02431596643145384,0.7723811928366023,76.13680739767919,25.30404735363451,34.54117943079157,6.589622607083297,-0.08962260708329683,42.384269923274466,39.615730076725534,-0.9686679617788532,0.8993897966999771,0.9539285770025874,0.6683350457293156,82.87160975551122,1,0
