season,home_team,away_team,actual_total,pred_lower,pred_mean,pred_upper,pred_std,pred_error,abs_pred_error,simulated_line_drift,simulated_live_line,z_score,abs_z_score,is_alert,confidence,bet_direction,theoretical_win_prob,random_outcome,bet_wins,pnl
2023,Connecticut 4,Houston 1,164.55661359537362,151.07982,161.29646,166.98126,6.2115016,3.260150582678307,3.260150582678307,3.0853407553563885,164.3818037680517,0.4967141530112327,0.4967141530112327,False,NONE,NONE,0.5,0.6439995432390158,False,0
2023,Connecticut 4,UCLA 2,161.89091875943635,150.44392,161.9088,165.07086,5.713648,-0.01787945833709159,0.01787945833709159,-0.7899935260686822,161.11880469170475,-0.13826430117118466,0.13826430117118466,False,NONE,NONE,0.5,0.4087341710980964,False,0
2023,Connecticut 4,Alabama 1,156.62792189218257,150.6918,159.62549,172.21883,8.408994,-2.99756638906743,2.99756638906743,5.446408850057769,165.07189713130776,0.6476885381006925,0.6476885381006925,False,NONE,NONE,0.5,0.02538635566034486,False,0
2023,Connecticut 4,Texas 2,147.37965219085447,148.92958,159.38165,169.54271,8.052004,-12.002000641176778,12.002000641176778,12.263442283414022,171.64509511544526,1.5230298564080254,1.5230298564080254,False,NONE,NONE,0.5,0.15615259736619036,False,0
2023,Connecticut 4,Tennessee 4,164.0239148877921,147.21985,160.08311,164.32034,6.6798806,3.940800263768665,3.940800263768665,-1.564116589699347,158.51899803432408,-0.23415337472333597,0.23415337472333597,False,NONE,NONE,0.5,0.7159722288473975,False,0
2023,Connecticut 4,Purdue 1,151.93619192326625,148.90701,157.99794,167.53633,7.2770777,-6.061748140210312,6.061748140210312,-1.7038328222758785,156.2941072412007,-0.23413695694918055,0.23413695694918055,False,NONE,NONE,0.5,0.6589239419101514,False,0
2023,Connecticut 4,Gonzaga 3,179.39124446795543,154.74211,169.37442,177.08232,8.7266445,10.016824301939806,10.016824301939806,13.781228856030618,183.15564902204625,1.5792128155073915,1.5792128155073915,False,NONE,NONE,0.5,0.02709599250348349,False,0
2023,Connecticut 4,Kansas 1,161.19067523504697,150.23747,161.07831,167.95567,6.921172,0.11236712957821737,0.11236712957821737,5.311547868238536,166.38985597370728,0.7674347291529088,0.7674347291529088,False,NONE,NONE,0.5,0.22197216193294944,False,0
2023,Connecticut 4,Marquette 2,162.29761978829885,152.49963,162.27052,172.03864,7.6324224,0.027096717009783333,0.027096717009783333,-3.5832268415975195,158.68729622969155,-0.46947438593495217,0.46947438593495217,False,NONE,NONE,0.5,0.2310747965880714,False,0
2023,UCLA 2,Alabama 1,145.52690717011478,145.61464,152.69624,168.4415,8.916741,-7.16933611601803,7.16933611601803,4.837867586978515,157.53411087311133,0.5425600435859647,0.5425600435859647,False,NONE,NONE,0.5,0.6718927435987284,False,0
2023,UCLA 2,Texas 2,145.9450147432527,147.06993,157.1212,165.56305,7.2238746,-11.176185818270739,11.176185818270739,-3.3476712859044286,153.773529275619,-0.46341769281246226,0.46341769281246226,False,NONE,NONE,0.5,0.019710537754364155,False,0
2023,UCLA 2,Tennessee 4,144.20902586027148,144.00772,146.80664,161.42523,6.803715,-2.597614764728519,2.597614764728519,-3.168692616980406,143.6379480080196,-0.46572975357025687,0.46572975357025687,False,NONE,NONE,0.5,0.10410858198457384,False,0
2023,UCLA 2,Purdue 1,163.88258134348732,144.46799,157.28381,165.3573,8.159888,6.598767866924817,6.598767866924817,1.9743851009334656,159.25819857749596,0.24196227156603412,0.24196227156603412,False,NONE,NONE,0.5,0.7999160853731894,False,0
